영동IC	fnSelectNode('N001I240','영동IC','1');
영락IC	fnSelectNode('N001I015','영락IC','1');
영산IC	fnSelectNode('N045I050','영산IC','1');
영종IC	fnSelectNode('N110I000','영종IC','1');
영주IC	fnSelectNode('N055I130','영주IC','1');
영천IC	fnSelectNode('N001I100','영천IC','1');
영천TG	fnSelectNode('N301T060','영천TG','1');
예산수덕사IC	fnSelectNode('N030I030','예산수덕사IC','1');
예천IC	fnSelectNode('N055I120','예천IC','1');
오산IC	fnSelectNode('N001I400','오산IC','1');
오성IC	fnSelectNode('N017I000','오성IC','1');
오수IC	fnSelectNode('N027I070','오수IC','1');
오창IC	fnSelectNode('N352I020','오창IC','1');
옥계IC	fnSelectNode('N065I020','옥계IC','1');
옥곡IC	fnSelectNode('N010I030','옥곡IC','1');
옥과IC	fnSelectNode('N025I060','옥과IC','1');
옥련IC	fnSelectNode('N110I027','옥련IC','1');
옥산하이패스IC	fnSelectNode('N001I335','옥산하이패스IC','1');
옥천IC	fnSelectNode('N001I250','옥천IC','1');
온양IC	fnSelectNode('N650I030','온양IC','1');
완주IC	fnSelectNode('N020I010','완주IC','1');
왜관IC	fnSelectNode('N001I160','왜관IC','1');
용봉IC	fnSelectNode('N025I120','용봉IC','1');
용인IC	fnSelectNode('N050I140','용인IC','1');
운수IC	fnSelectNode('N12AI070','운수IC','1');
울산TG	fnSelectNode('N016T020','울산TG','1');
울산종점	fnSelectNode('N016I030','울산종점','1');
원주IC	fnSelectNode('N050I230','원주IC','1');
유구IC	fnSelectNode('N030I050','유구IC','1');
유성IC	fnSelectNode('N251I040','유성IC','1');
유천하이패스IC	fnSelectNode('N451I045','유천하이패스IC','1');
음성IC	fnSelectNode('N040I100','음성IC','1');
의성IC	fnSelectNode('N055I090','의성IC','1');
의정부IC	fnSelectNode('N100I330','의정부IC','1');
이천IC	fnSelectNode('N050I180','이천IC','1');
익산IC	fnSelectNode('N025I290','익산IC','1');
인제IC	fnSelectNode('N060I100','인제IC','1');
인천TG	fnSelectNode('N120T050','인천TG','1');
인천대교TG	fnSelectNode('N110T010','인천대교TG','1');
인천시점	fnSelectNode('N120I000','인천시점','1');
일로IC	fnSelectNode('N015I010','일로IC','1');
일산IC	fnSelectNode('N100I000','일산IC','1');
