안녕IC	fnSelectNode('N171I010','안녕IC','2');
안산IC	fnSelectNode('N050I050','안산IC','2');
안성IC	fnSelectNode('N001I380','안성IC','2');
안영IC	fnSelectNode('N300I020','안영IC','2');
양산IC	fnSelectNode('N001I040','양산IC','2');
양양IC	fnSelectNode('N065I090','양양IC','2');
양재IC	fnSelectNode('N001I490','양재IC','2');
양주TG	fnSelectNode('N100T350','양주TG','2');
양지IC	fnSelectNode('N050I150','양지IC','2');
양촌하이패스IC	fnSelectNode('N251I015','양촌하이패스IC','2');
양평IC	fnSelectNode('N045I280','양평IC','2');
어연IC	fnSelectNode('N017I020','어연IC','2');
여수대로IC	fnSelectNode('N11AI150','여수대로IC','2');
여주IC	fnSelectNode('N050I200','여주IC','2');
연무IC	fnSelectNode('N025I310','연무IC','2');
연풍IC	fnSelectNode('N045I190','연풍IC','2');
연화산IC	fnSelectNode('N351I040','연화산IC','2');
영광IC	fnSelectNode('N015I060','영광IC','2');
영덕IC	fnSelectNode('N30AI130','영덕IC','2');
영동IC	fnSelectNode('N001I240','영동IC','2');
영락IC	fnSelectNode('N001I015','영락IC','2');
영산IC	fnSelectNode('N045I050','영산IC','2');
영종IC	fnSelectNode('N110I000','영종IC','2');
영주IC	fnSelectNode('N055I130','영주IC','2');
영천IC	fnSelectNode('N001I100','영천IC','2');
영천TG	fnSelectNode('N301T060','영천TG','2');
예산수덕사IC	fnSelectNode('N030I030','예산수덕사IC','2');
예천IC	fnSelectNode('N055I120','예천IC','2');
오산IC	fnSelectNode('N001I400','오산IC','2');
오성IC	fnSelectNode('N017I000','오성IC','2');
오수IC	fnSelectNode('N027I070','오수IC','2');
오창IC	fnSelectNode('N352I020','오창IC','2');
옥계IC	fnSelectNode('N065I020','옥계IC','2');
옥곡IC	fnSelectNode('N010I030','옥곡IC','2');
옥과IC	fnSelectNode('N025I060','옥과IC','2');
옥련IC	fnSelectNode('N110I027','옥련IC','2');
옥산하이패스IC	fnSelectNode('N001I335','옥산하이패스IC','2');
옥천IC	fnSelectNode('N001I250','옥천IC','2');
온양IC	fnSelectNode('N650I030','온양IC','2');
완주IC	fnSelectNode('N020I010','완주IC','2');
왜관IC	fnSelectNode('N001I160','왜관IC','2');
용봉IC	fnSelectNode('N025I120','용봉IC','2');
용인IC	fnSelectNode('N050I140','용인IC','2');
운수IC	fnSelectNode('N12AI070','운수IC','2');
울산TG	fnSelectNode('N016T020','울산TG','2');
울산종점	fnSelectNode('N016I030','울산종점','2');
원주IC	fnSelectNode('N050I230','원주IC','2');
유구IC	fnSelectNode('N030I050','유구IC','2');
유성IC	fnSelectNode('N251I040','유성IC','2');
유천하이패스IC	fnSelectNode('N451I045','유천하이패스IC','2');
음성IC	fnSelectNode('N040I100','음성IC','2');
의성IC	fnSelectNode('N055I090','의성IC','2');
의정부IC	fnSelectNode('N100I330','의정부IC','2');
이천IC	fnSelectNode('N050I180','이천IC','2');
익산IC	fnSelectNode('N025I290','익산IC','2');
인제IC	fnSelectNode('N060I100','인제IC','2');
인천TG	fnSelectNode('N120T050','인천TG','2');
인천대교TG	fnSelectNode('N110T010','인천대교TG','2');
인천시점	fnSelectNode('N120I000','인천시점','2');
일로IC	fnSelectNode('N015I010','일로IC','2');
일산IC	fnSelectNode('N100I000','일산IC','2');
일죽IC	fnSelectNode('N352I070','일죽IC','2');
임고하이패스IC	fnSelectNode('N20AI035','임고하이패스IC','2');
임실IC	fnSelectNode('N027I080','임실IC','2');
잠원IC	fnSelectNode('N001I520','잠원IC','2');
장검IC	fnSelectNode('N016I025','장검IC','2');
장성IC	fnSelectNode('N025I170','장성IC','2');
장성물류IC	fnSelectNode('N253I010','장성물류IC','2');
장수IC	fnSelectNode('N020I050','장수IC','2');
장수IC	fnSelectNode('N100I090','장수IC','2');
장안IC	fnSelectNode('N650I020','장안IC','2');
장안본선TG	fnSelectNode('N153T005','장안본선TG','2');
장유IC	fnSelectNode('N104I010','장유IC','2');
장지IC	fnSelectNode('N010I160','장지IC','2');
장흥IC	fnSelectNode('N10AI030','장흥IC','2');
전주IC	fnSelectNode('N025I260','전주IC','2');
점촌함창IC	fnSelectNode('N045I170','점촌함창IC','2');
정남IC	fnSelectNode('N017I060','정남IC','2');
정안IC	fnSelectNode('N025I360','정안IC','2');
정읍IC	fnSelectNode('N025I210','정읍IC','2');
제천IC	fnSelectNode('N055I180','제천IC','2');
조암IC	fnSelectNode('N153I010','조암IC','2');
조양IC	fnSelectNode('N060I070','조양IC','2');
줄포IC	fnSelectNode('N015I100','줄포IC','2');
중동IC	fnSelectNode('N100I070','중동IC','2');
증평IC	fnSelectNode('N352I030','증평IC','2');
지곡IC	fnSelectNode('N351I110','지곡IC','2');
지리산IC	fnSelectNode('N012I070','지리산IC','2');
지수IC	fnSelectNode('N010I140','지수IC','2');
진교IC	fnSelectNode('N010I060','진교IC','2');
진례IC	fnSelectNode('N010I230','진례IC','2');
진부IC	fnSelectNode('N050I290','진부IC','2');
진성IC	fnSelectNode('N010I130','진성IC','2');
진안IC	fnSelectNode('N020I040','진안IC','2');
진영IC	fnSelectNode('N600I010','진영IC','2');
진월IC	fnSelectNode('N010I040','진월IC','2');
진주IC	fnSelectNode('N010I110','진주IC','2');
진천IC	fnSelectNode('N352I040','진천IC','2');
진해IC	fnSelectNode('N105I030','진해IC','2');
창녕IC	fnSelectNode('N045I060','창녕IC','2');
창평IC	fnSelectNode('N025I080','창평IC','2');
천안IC	fnSelectNode('N001I360','천안IC','2');
청계TG	fnSelectNode('N100T170','청계TG','2');
청도IC	fnSelectNode('N55AI060','청도IC','2');
청량IC	fnSelectNode('N650I040','청량IC','2');
청북IC	fnSelectNode('N040I010','청북IC','2');
청송IC	fnSelectNode('N30AI110','청송IC','2');
청양IC	fnSelectNode('N151I040','청양IC','2');
청주IC	fnSelectNode('N001I330','청주IC','2');
청통와촌IC	fnSelectNode('N20AI020','청통와촌IC','2');
초정IC	fnSelectNode('N055I020','초정IC','2');
추부IC	fnSelectNode('N351I170','추부IC','2');
추풍령IC	fnSelectNode('N001I220','추풍령IC','2');
축동IC	fnSelectNode('N010I080','축동IC','2');
춘장대IC	fnSelectNode('N015I170','춘장대IC','2');
춘천IC	fnSelectNode('N055I260','춘천IC','2');
춘천TG	fnSelectNode('N055T260','춘천TG','2');
충주IC	fnSelectNode('N045I210','충주IC','2');
칠곡IC	fnSelectNode('N055I050','칠곡IC','2');
칠곡물류IC	fnSelectNode('N001I155','칠곡물류IC','2');
칠서IC	fnSelectNode('N045I030','칠서IC','2');
칠원TG	fnSelectNode('N045T010','칠원TG','2');
탄천IC	fnSelectNode('N025I330','탄천IC','2');
태인IC	fnSelectNode('N025I220','태인IC','2');
토평IC	fnSelectNode('N100I260','토평IC','2');
통도사IC	fnSelectNode('N001I050','통도사IC','2');
통도사하이패스IC	fnSelectNode('N001I045','통도사하이패스IC','2');
통영IC	fnSelectNode('N351I000','통영IC','2');
통일로IC	fnSelectNode('N100I360','통일로IC','2');
퇴계원IC	fnSelectNode('N100I300','퇴계원IC','2');
판교IC	fnSelectNode('N001I470','판교IC','2');
판암IC	fnSelectNode('N351I190','판암IC','2');
팔공산IC	fnSelectNode('N20AI000','팔공산IC','2');
평창IC	fnSelectNode('N050I270','평창IC','2');
평촌IC	fnSelectNode('N100I150','평촌IC','2');
평택고덕IC	fnSelectNode('N040I020','평택고덕IC','2');
포항IC	fnSelectNode('N20AI060','포항IC','2');
포항TG	fnSelectNode('N20AT050','포항TG','2');
풍기IC	fnSelectNode('N055I140','풍기IC','2');
하남IC	fnSelectNode('N352I150','하남IC','2');
하동IC	fnSelectNode('N010I050','하동IC','2');
하조대IC	fnSelectNode('N065I080','하조대IC','2');
한림IC	fnSelectNode('N600I020','한림IC','2');
함안IC	fnSelectNode('N010I170','함안IC','2');
함양IC	fnSelectNode('N012I080','함양IC','2');
함평IC	fnSelectNode('N015I050','함평IC','2');
해룡IC	fnSelectNode('N10AI090','해룡IC','2');
해미IC	fnSelectNode('N015I220','해미IC','2');
해운대송정IC	fnSelectNode('N650I000','해운대송정IC','2');
해운대송정TG	fnSelectNode('N650T005','해운대송정TG','2');
해인사IC	fnSelectNode('N012I120','해인사IC','2');
향남IC	fnSelectNode('N017I040','향남IC','2');
헌릉IC	fnSelectNode('N171I100','헌릉IC','2');
